1;192.168.14.0;192.168.14.1;172.28.182.0
3;192.168.4.0;192.168.4.1;172.28.174.0
4;192.168.34.0;192.168.34.1;172.28.204.0
5;192.168.5.0;192.168.5.1;172.28.175.0
9;192.168.26.0;192.168.26.1;172.28.196.0
8;192.168.24.0;192.168.24.1;172.28.194.0
10;192.168.6.0;192.168.6.1;172.28.176.0
11;192.168.7.0;192.168.7.1;172.28.177.0
23;192.168.11.0;192.168.11.1;172.28.181.0
14;192.168.9.0;192.168.9.1;172.28.179.0
15;192.168.10.0;192.168.10.1;172.28.180.0
19;192.168.30.0;192.168.30.1;172.28.200.0
22;192.168.17.0;192.168.17.1;172.28.187.1
21;192.168.22.0;192.168.22.1;172.28.192.0
25;192.168.33.0;192.168.33.1;172.28.203.0
27;192.168.12.0;192.168.12.1;172.28.184.0
28;192.168.20.0;192.168.20.1;172.28.190.0
29;192.168.16.0;192.168.16.1;172.28.186.0
30;192.168.23.0.;192.168.23.1;172.28.193.0
33;192.168.18.0;192.168.18.1;172.28.188.0
35;192.168.1.0;192.168.1.1;172.28.171.0
36;192.168.199.0;192.168.199.1;172.28.205.0
