code_agence;libelle_agence;mois;Transaction_Owned;%_local_Owned;%_Intercity_Owned;T+K_Owned;Rev/Trans_Owned;Rve/Day_Owned;Nb_Jours_Loc_Owned;Duree_Owned;RPU_Owned;Util_Owned;Car_Days_Owned;Flotte_Moyenne_Owned;Departs_Owned;Transaction_Foreign;%_local_Foreign;%_Intercity_Foreign;T+K_Foreign;Rev/Trans_Foreign;Rve/Day_Foreign;Nb_Jours_Loc_Foreign;Duree_Foreign;RPU_Foreign;Util_Foreign;Car_Days_Foreign;Flotte_Moyenne_Foreign;Departs_Foreign;Transaction_Combined;%_local_Combined;%_Intercity_Combined;T+K_Combined;Rev/Trans_Combined;Rve/Day_Combined;Nb_Jours_Loc_Combined;Duree_Combined;RPU_Combined;Util_Combined;Car_Days_Combined;Flotte_Moyenne_Combined;Departs_Combined;CDW_Combined;TP_Combined;PAI_Combined;OW_FEE_Combined
50924;CHATEAUDUN DTVU;07-2022;2;100;0;136;68,00;68;2;1;;2,5;81;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;100;0;136;68,00;68;2;1;52;2,4;81;3;2;0;0;0;0
50930;ETAMPES DT VU F;07-2022;40;97,5;2,5;16 598;414,95;37,64;440;11,02;;74,9;589;21;33;0;0;0;0;0;0;0;0;0;0;0;0;0;40;97,5;2,5;16 598;414,95;37,64;440;11,02;908;74,8;589;21;33;390;0;145;0
50977;PITHIVIERS VU F;07-2022;9;100;0;2 645;293,89;84,45;31;3,48;;20,6;152;5;9;0;0;0;0;0;0;0;0;0;0;4;0;0;9;100;0;2 645;293,89;84,45;31;3,48;506;20;156;6;9;0;0;0;0
50929;DREUX DT VU FR;07-2022;54;100;0;14 261;264,09;44,38;321;5,95;;56,9;565;20;51;0;0;0;0;0;0;0;0;0;0;0;0;0;54;100;0;14 261;264,09;44,38;321;5,95;818;56,8;565;20;51;681;109;160;0
50979;RAMBOUILLET VU;07-2022;111;100;0;31 388;282,77;59,04;531;4,79;;44;1 209;43;111;0;0;0;0;0;0;0;0;0;0;0;0;0;111;100;0;31 388;282,77;59,04;531;4,79;838;43,9;1 209;43;111;262;0;0;0
50985;RUNGIS HALL VU;07-2022;393;99,7;0,3;200 115;509,2;33,19;6 029;15,34;;78,3;7 698;275;348;0;0;0;0;0;0;0;0;0;0;1;0;0;393;99,7;0,3;200 115;509,2;33,19;6 029;15,34;836;78,3;7 699;275;348;4 564;186;150;0
50927;CHEVILLY VU;07-2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50983;RUNGIS DT VU FR;07-2022;474;100;0;141 220;297,93;42,96;3 287;6,94;;80,6;4 081;146;455;0;0;0;0;0;0;0;0;0;0;0;0;0;474;100;0;141 220;297,93;42,96;3 287;6,94;1 110;80,5;4 081;146;455;2 521;0;0;0
50934;MASSY GARE VU F;07-2022;15;100;0;5 675;378,33;61,31;92;6,17;;49,2;188;7;12;0;0;0;0;0;0;0;0;0;0;0;0;0;15;100;0;5 675;378,33;61,31;92;6,17;930;49,2;188;7;12;310;0;5;0
50933;U VILLEBON VU F;07-2022;347;100;0;149 856;431,86;23,85;6 282;18,11;;90,1;6 973;249;336;1;100;0;403;403,00;13,43;30;30;465;214,3;14;1;1;348;100;0;150 259;431,78;23,8;6 312;18,14;690;90,3;6 987;250;337;2 636;23;105;0
50910;ANTONY DT VU FR;07-2022;44;100;0;9 466;215,14;44,35;213;4,85;;57,1;374;13;39;0;0;0;0;0,00;0;0;0;0;0;0;0;0;44;100;0;9 466;215,14;44,35;213;4,85;837;57;374;13;39;447;0;75;0
50944;ORLEANS DT  VU;07-2022;90;100;0;34 633;384,81;43,45;797;8,86;;48,3;1 650;59;83;0;0;0;0;0;0;0;0;0;0;0;0;0;90;100;0;34 633;384,81;43,45;797;8,86;674;48,3;1 650;59;83;1 215;0;225;0
50974;ORLEANS SUD VU;07-2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50926;CHATEAUNEUF VU;07-2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50920;BLOIS DT VU FR;07-2022;46;100;0;17 791;386,76;29,12;611;13,28;;72,7;841;30;51;0;0;0;0;0;0;0;0;0;0;0;0;0;46;100;0;17 791;386,76;29,12;611;13,28;681;72,6;841;30;51;602;0;0;0
50982;ROMORANTIN VU F;07-2022;5;100;0;2 603;520,60;22,45;115;23,19;;122,1;95;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;100;0;2 603;520,60;22,45;115;23,19;992;122;95;3;3;0;0;0;0
